TOKEN,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,REMARKS,MODE,PUNCH_STATUS,OT,SHIFT_STATUS,SHIFT_ST,SHIFT_ED,WORKHRS
10001,2025-09-01 00:00:00,2025-09-01 06:50,2025-09-01 18:00,,,,,,,2025-09-01 06:50:00,2025-09-01 18:00:00,11:10,,1.0,PR,4:09,1S,2025-09-01 07:00:00,2025-09-01 14:00:00,7.0
10001,2025-09-02 00:00:00,2025-09-02 06:55,2025-09-02 17:56,,,,,,,2025-09-02 06:55:00,2025-09-02 17:56:00,11:01,,1.0,PR,4:01,1S,2025-09-02 07:00:00,2025-09-02 14:00:00,7.0
10001,2025-09-03 00:00:00,2025-09-03 07:07,2025-09-03 18:07,,,,,,,2025-09-03 07:07:00,2025-09-03 18:07:00,11:00,,1.0,PR,4:00,1S,2025-09-03 07:00:00,2025-09-03 14:00:00,7.0
10001,2025-09-04 00:00:00,2025-09-04 06:50,2025-09-04 18:04,,,,,,,2025-09-04 06:50:00,2025-09-04 18:04:00,11:14,,1.0,PR,4:13,1S,2025-09-04 07:00:00,2025-09-04 14:00:00,7.0
10001,2025-09-05 00:00:00,2025-09-05 07:04,2025-09-05 18:06,,,,,,,2025-09-05 07:04:00,2025-09-05 18:06:00,11:02,,1.0,PR,4:02,1S,2025-09-05 07:00:00,2025-09-05 14:00:00,7.0
10001,2025-09-06 00:00:00,2025-09-06 07:07,2025-09-06 14:13,,,,,,,2025-09-06 07:07:00,2025-09-06 14:13:00,07:06,,1.0,PR,0:05,1S,2025-09-06 07:00:00,2025-09-06 14:00:00,7.0
10001,2025-09-07 00:00:00,2025-09-07 13:50,2025-09-07 20:50,,,,,,,2025-09-07 13:50:00,2025-09-07 20:50:00,07:00,,1.0,PR,0:00,1S,2025-09-07 07:00:00,2025-09-07 14:00:00,7.0
10001,2025-09-08 00:00:00,2025-09-08 07:02,2025-09-08 18:03,,,,,,,2025-09-08 07:02:00,2025-09-08 18:03:00,11:01,,1.0,PR,4:01,1S,2025-09-08 07:00:00,2025-09-08 14:00:00,7.0
10001,2025-09-09 00:00:00,2025-09-09 07:01,2025-09-09 18:02,,,,,,,2025-09-09 07:01:00,2025-09-09 18:02:00,11:01,,1.0,PR,4:01,1S,2025-09-09 07:00:00,2025-09-09 14:00:00,7.0
10001,2025-09-10 00:00:00,2025-09-10 07:06,2025-09-10 18:10,,,,,,,2025-09-10 07:06:00,2025-09-10 18:10:00,11:04,,1.0,PR,4:04,1S,2025-09-10 07:00:00,2025-09-10 14:00:00,7.0
10001,2025-09-11 00:00:00,2025-09-11 07:12,2025-09-11 18:13,,,,,,,2025-09-11 07:12:00,2025-09-11 18:13:00,11:01,,1.0,PR,4:01,1S,2025-09-11 07:00:00,2025-09-11 14:00:00,7.0
10001,2025-09-12 00:00:00,2025-09-12 07:10,2025-09-12 18:11,,,,,,,2025-09-12 07:10:00,2025-09-12 18:11:00,11:01,,1.0,PR,4:01,1S,2025-09-12 07:00:00,2025-09-12 14:00:00,7.0
10001,2025-09-13 00:00:00,2025-09-13 06:56,2025-09-13 16:01,,,,,,,2025-09-13 06:56:00,2025-09-13 16:01:00,09:05,,1.0,PR,2:05,1S,2025-09-13 07:00:00,2025-09-13 14:00:00,7.0
10001,2025-09-14 00:00:00,2025-09-14 14:08,2025-09-14 21:00,,,,,,,2025-09-14 14:08:00,2025-09-14 21:00:00,06:52,,1.0,HD,0:00,1S,2025-09-14 07:00:00,2025-09-14 14:00:00,7.0
10001,2025-09-15 00:00:00,2025-09-15 07:03,2025-09-15 18:04,,,,,,,2025-09-15 07:03:00,2025-09-15 18:04:00,11:01,,1.0,PR,4:01,1S,2025-09-15 07:00:00,2025-09-15 14:00:00,7.0
10001,2025-09-16 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-16 07:00:00,2025-09-16 14:00:00,7.0
10001,2025-09-17 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-17 07:00:00,2025-09-17 14:00:00,7.0
10001,2025-09-18 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-18 07:00:00,2025-09-18 14:00:00,7.0
10001,2025-09-19 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-19 07:00:00,2025-09-19 14:00:00,7.0
10001,2025-09-20 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-20 07:00:00,2025-09-20 14:00:00,7.0
10001,2025-09-21 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-21 07:00:00,2025-09-21 14:00:00,7.0
10001,2025-09-22 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-22 07:00:00,2025-09-22 14:00:00,7.0
10001,2025-09-23 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-23 07:00:00,2025-09-23 14:00:00,7.0
10001,2025-09-24 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-24 07:00:00,2025-09-24 14:00:00,7.0
10001,2025-09-25 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-25 07:00:00,2025-09-25 14:00:00,7.0
10001,2025-09-26 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-26 07:00:00,2025-09-26 14:00:00,7.0
10001,2025-09-27 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-27 07:00:00,2025-09-27 14:00:00,7.0
10001,2025-09-28 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-28 07:00:00,2025-09-28 14:00:00,7.0
10001,2025-09-29 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-29 07:00:00,2025-09-29 14:00:00,7.0
10001,2025-09-30 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-30 07:00:00,2025-09-30 14:00:00,7.0
10002,2025-09-01 00:00:00,2025-09-01 20:50,2025-09-02 06:59,,,,,,,2025-09-01 20:50:00,2025-09-02 06:59:00,10:09,,1.0,PR,3:09,2S,2025-09-01 14:00:00,2025-09-01 21:00:00,7.0
10002,2025-09-02 00:00:00,2025-09-02 20:50,2025-09-03 07:10,,,,,,,2025-09-02 20:50:00,2025-09-03 07:10:00,10:20,,1.0,PR,3:20,2S,2025-09-02 14:00:00,2025-09-02 21:00:00,7.0
10002,2025-09-03 00:00:00,2025-09-03 20:59,2025-09-04 07:00,,,,,,,2025-09-03 20:59:00,2025-09-04 07:00:00,10:01,,1.0,PR,3:01,2S,2025-09-03 14:00:00,2025-09-03 21:00:00,7.0
10002,2025-09-04 00:00:00,2025-09-04 20:50,2025-09-05 07:10,,,,,,,2025-09-04 20:50:00,2025-09-05 07:10:00,10:20,,1.0,PR,3:20,2S,2025-09-04 14:00:00,2025-09-04 21:00:00,7.0
10002,2025-09-05 00:00:00,2025-09-05 20:50,2025-09-06 07:10,,,,,,,2025-09-05 20:50:00,2025-09-06 07:10:00,10:20,,1.0,PR,3:20,2S,2025-09-05 14:00:00,2025-09-05 21:00:00,7.0
10002,2025-09-06 00:00:00,2025-09-06 20:51,2025-09-07 06:55,,,,,,,2025-09-06 20:51:00,2025-09-07 06:55:00,10:04,,1.0,PR,3:04,2S,2025-09-06 14:00:00,2025-09-06 21:00:00,7.0
10002,2025-09-07 00:00:00,2025-09-07 07:00,2025-09-07 14:00,,,,,,,2025-09-07 07:00:00,2025-09-07 14:00:00,07:00,,1.0,PR,0:00,2S,2025-09-07 14:00:00,2025-09-07 21:00:00,7.0
10002,2025-09-08 00:00:00,2025-09-08 13:50,2025-09-08 21:00,,,,,,,2025-09-08 13:50:00,2025-09-08 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-08 21:00:00,2025-09-09 07:00:00,10.0
10002,2025-09-09 00:00:00,2025-09-09 13:50,2025-09-09 21:00,,,,,,,2025-09-09 13:50:00,2025-09-09 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-09 21:00:00,2025-09-10 07:00:00,10.0
10002,2025-09-10 00:00:00,2025-09-10 13:50,2025-09-10 21:00,,,,,,,2025-09-10 13:50:00,2025-09-10 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-10 21:00:00,2025-09-11 07:00:00,10.0
10002,2025-09-11 00:00:00,2025-09-11 13:50,2025-09-11 21:00,,,,,,,2025-09-11 13:50:00,2025-09-11 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-11 21:00:00,2025-09-12 07:00:00,10.0
10002,2025-09-12 00:00:00,2025-09-12 13:50,2025-09-12 21:00,,,,,,,2025-09-12 13:50:00,2025-09-12 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-12 21:00:00,2025-09-13 07:00:00,10.0
10002,2025-09-13 00:00:00,2025-09-13 20:50,2025-09-14 07:00,,,,,,,2025-09-13 20:50:00,2025-09-14 07:00:00,10:10,,1.0,PR,0:09,3S,2025-09-13 21:00:00,2025-09-14 07:00:00,10.0
10002,2025-09-14 00:00:00,2025-09-14 20:50,2025-09-15 07:05,,,,,,,2025-09-14 20:50:00,2025-09-15 07:05:00,10:15,,1.0,PR,0:15,3S,2025-09-14 21:00:00,2025-09-15 07:00:00,10.0
10002,2025-09-15 00:00:00,2025-09-15 20:50,2025-09-16 07:25,,,,,,,2025-09-15 20:50:00,2025-09-16 07:25:00,10:35,,1.0,PR,3:35,1S,2025-09-15 07:00:00,2025-09-15 14:00:00,7.0
10002,2025-09-16 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-16 07:00:00,2025-09-16 14:00:00,7.0
10002,2025-09-17 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-17 07:00:00,2025-09-17 14:00:00,7.0
10002,2025-09-18 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-18 07:00:00,2025-09-18 14:00:00,7.0
10002,2025-09-19 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-19 07:00:00,2025-09-19 14:00:00,7.0
10002,2025-09-20 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-20 07:00:00,2025-09-20 14:00:00,7.0
10002,2025-09-21 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-21 07:00:00,2025-09-21 14:00:00,7.0
10002,2025-09-22 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-22 14:00:00,2025-09-22 21:00:00,7.0
10002,2025-09-23 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-23 14:00:00,2025-09-23 21:00:00,7.0
10002,2025-09-24 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-24 14:00:00,2025-09-24 21:00:00,7.0
10002,2025-09-25 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-25 14:00:00,2025-09-25 21:00:00,7.0
10002,2025-09-26 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-26 14:00:00,2025-09-26 21:00:00,7.0
10002,2025-09-27 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-27 14:00:00,2025-09-27 21:00:00,7.0
10002,2025-09-28 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-28 14:00:00,2025-09-28 21:00:00,7.0
10002,2025-09-29 00:00:00,,,,,,,,,,,,,,AB,0:00,3S,2025-09-29 21:00:00,2025-09-30 07:00:00,10.0
10002,2025-09-30 00:00:00,,,,,,,,,,,,,,AB,0:00,3S,2025-09-30 21:00:00,2025-10-01 07:00:00,10.0
10003,2025-09-01 00:00:00,2025-09-01 13:50,2025-09-01 21:00,,,,,,,2025-09-01 13:50:00,2025-09-01 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-01 14:00:00,2025-09-01 21:00:00,7.0
10003,2025-09-02 00:00:00,2025-09-02 13:50,2025-09-02 21:00,,,,,,,2025-09-02 13:50:00,2025-09-02 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-02 14:00:00,2025-09-02 21:00:00,7.0
10003,2025-09-03 00:00:00,2025-09-03 13:50,2025-09-03 21:00,,,,,,,2025-09-03 13:50:00,2025-09-03 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-03 14:00:00,2025-09-03 21:00:00,7.0
10003,2025-09-04 00:00:00,2025-09-04 13:50,2025-09-04 21:00,,,,,,,2025-09-04 13:50:00,2025-09-04 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-04 14:00:00,2025-09-04 21:00:00,7.0
10003,2025-09-05 00:00:00,2025-09-05 13:50,2025-09-05 21:00,,,,,,,2025-09-05 13:50:00,2025-09-05 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-05 14:00:00,2025-09-05 21:00:00,7.0
10003,2025-09-06 00:00:00,2025-09-06 13:50,2025-09-06 21:00,,,,,,,2025-09-06 13:50:00,2025-09-06 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-06 14:00:00,2025-09-06 21:00:00,7.0
10003,2025-09-07 00:00:00,2025-09-07 20:50,2025-09-08 07:04,,,,,,,2025-09-07 20:50:00,2025-09-08 07:04:00,10:14,,1.0,PR,3:13,2S,2025-09-07 14:00:00,2025-09-07 21:00:00,7.0
10003,2025-09-08 00:00:00,2025-09-08 20:50,2025-09-09 07:03,,,,,,,2025-09-08 20:50:00,2025-09-09 07:03:00,10:13,,1.0,PR,0:13,3S,2025-09-08 21:00:00,2025-09-09 07:00:00,10.0
10003,2025-09-09 00:00:00,2025-09-09 20:50,2025-09-10 07:09,,,,,,,2025-09-09 20:50:00,2025-09-10 07:09:00,10:19,,1.0,PR,0:18,3S,2025-09-09 21:00:00,2025-09-10 07:00:00,10.0
10003,2025-09-10 00:00:00,2025-09-10 20:50,2025-09-11 07:13,,,,,,,2025-09-10 20:50:00,2025-09-11 07:13:00,10:23,,1.0,PR,0:22,3S,2025-09-10 21:00:00,2025-09-11 07:00:00,10.0
10003,2025-09-11 00:00:00,2025-09-11 20:50,2025-09-12 07:12,,,,,,,2025-09-11 20:50:00,2025-09-12 07:12:00,10:22,,1.0,PR,0:22,3S,2025-09-11 21:00:00,2025-09-12 07:00:00,10.0
10003,2025-09-12 00:00:00,2025-09-12 20:50,2025-09-13 07:00,,,,,,,2025-09-12 20:50:00,2025-09-13 07:00:00,10:10,,1.0,PR,0:09,3S,2025-09-12 21:00:00,2025-09-13 07:00:00,10.0
10003,2025-09-13 00:00:00,2025-09-13 13:50,2025-09-13 21:00,,,,,,,2025-09-13 13:50:00,2025-09-13 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-13 21:00:00,2025-09-14 07:00:00,10.0
10003,2025-09-14 00:00:00,2025-09-14 06:50,2025-09-14 14:11,,,,,,,2025-09-14 06:50:00,2025-09-14 14:11:00,07:21,,1.0,HD,0:00,3S,2025-09-14 21:00:00,2025-09-15 07:00:00,10.0
10003,2025-09-15 00:00:00,2025-09-15 13:50,2025-09-15 21:00,,,,,,,2025-09-15 13:50:00,2025-09-15 21:00:00,07:10,,1.0,PR,0:10,1S,2025-09-15 07:00:00,2025-09-15 14:00:00,7.0
10003,2025-09-16 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-16 07:00:00,2025-09-16 14:00:00,7.0
10003,2025-09-17 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-17 07:00:00,2025-09-17 14:00:00,7.0
10003,2025-09-18 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-18 07:00:00,2025-09-18 14:00:00,7.0
10003,2025-09-19 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-19 07:00:00,2025-09-19 14:00:00,7.0
10003,2025-09-20 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-20 07:00:00,2025-09-20 14:00:00,7.0
10003,2025-09-21 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-21 07:00:00,2025-09-21 14:00:00,7.0
10003,2025-09-22 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-22 14:00:00,2025-09-22 21:00:00,7.0
10003,2025-09-23 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-23 14:00:00,2025-09-23 21:00:00,7.0
10003,2025-09-24 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-24 14:00:00,2025-09-24 21:00:00,7.0
10003,2025-09-25 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-25 14:00:00,2025-09-25 21:00:00,7.0
10003,2025-09-26 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-26 14:00:00,2025-09-26 21:00:00,7.0
10003,2025-09-27 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-27 14:00:00,2025-09-27 21:00:00,7.0
10003,2025-09-28 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-28 14:00:00,2025-09-28 21:00:00,7.0
10003,2025-09-29 00:00:00,,,,,,,,,,,,,,AB,0:00,3S,2025-09-29 21:00:00,2025-09-30 07:00:00,10.0
10003,2025-09-30 00:00:00,,,,,,,,,,,,,,AB,0:00,3S,2025-09-30 21:00:00,2025-10-01 07:00:00,10.0
10004,2025-09-01 00:00:00,2025-09-01 07:47,2025-09-01 16:19,,,,,,,2025-09-01 07:47:00,2025-09-01 16:19:00,08:32,,1.0,PR,1:32,1S,2025-09-01 07:00:00,2025-09-01 14:00:00,7.0
10004,2025-09-02 00:00:00,2025-09-02 07:46,2025-09-02 16:17,,,,,,,2025-09-02 07:46:00,2025-09-02 16:17:00,08:31,,1.0,PR,1:31,1S,2025-09-02 07:00:00,2025-09-02 14:00:00,7.0
10004,2025-09-03 00:00:00,2025-09-03 07:53,2025-09-03 16:11,,,,,,,2025-09-03 07:53:00,2025-09-03 16:11:00,08:18,,1.0,PR,1:18,1S,2025-09-03 07:00:00,2025-09-03 14:00:00,7.0
10004,2025-09-04 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-04 07:00:00,2025-09-04 14:00:00,7.0
10004,2025-09-05 00:00:00,2025-09-05 07:53,2025-09-05 16:11,,,,,,,2025-09-05 07:53:00,2025-09-05 16:11:00,08:18,,1.0,PR,1:18,1S,2025-09-05 07:00:00,2025-09-05 14:00:00,7.0
10004,2025-09-06 00:00:00,2025-09-06 07:54,2025-09-06 16:16,,,,,,,2025-09-06 07:54:00,2025-09-06 16:16:00,08:22,,1.0,PR,1:22,1S,2025-09-06 07:00:00,2025-09-06 14:00:00,7.0
10004,2025-09-07 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-07 07:00:00,2025-09-07 14:00:00,7.0
10004,2025-09-08 00:00:00,2025-09-08 08:01,2025-09-08 16:21,,,,,,,2025-09-08 08:01:00,2025-09-08 16:21:00,08:20,,1.0,PR,1:20,1S,2025-09-08 07:00:00,2025-09-08 14:00:00,7.0
10004,2025-09-09 00:00:00,2025-09-09 07:41,2025-09-09 16:14,,,,,,,2025-09-09 07:41:00,2025-09-09 16:14:00,08:33,,1.0,PR,1:33,1S,2025-09-09 07:00:00,2025-09-09 14:00:00,7.0
10004,2025-09-10 00:00:00,2025-09-10 07:48,2025-09-10 16:06,,,,,,,2025-09-10 07:48:00,2025-09-10 16:06:00,08:18,,1.0,PR,1:18,1S,2025-09-10 07:00:00,2025-09-10 14:00:00,7.0
10004,2025-09-11 00:00:00,2025-09-11 07:54,2025-09-11 16:08,,,,,,,2025-09-11 07:54:00,2025-09-11 16:08:00,08:14,,1.0,PR,1:14,1S,2025-09-11 07:00:00,2025-09-11 14:00:00,7.0
10004,2025-09-12 00:00:00,2025-09-12 07:54,2025-09-12 16:12,,,,,,,2025-09-12 07:54:00,2025-09-12 16:12:00,08:18,,1.0,PR,1:18,1S,2025-09-12 07:00:00,2025-09-12 14:00:00,7.0
10004,2025-09-13 00:00:00,2025-09-13 07:52,2025-09-13 16:18,,,,,,,2025-09-13 07:52:00,2025-09-13 16:18:00,08:26,,1.0,PR,1:26,1S,2025-09-13 07:00:00,2025-09-13 14:00:00,7.0
10004,2025-09-14 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-14 07:00:00,2025-09-14 14:00:00,7.0
10004,2025-09-15 00:00:00,2025-09-15 07:51,2025-09-15 16:36,,,,,,,2025-09-15 07:51:00,2025-09-15 16:36:00,08:45,,1.0,PR,1:45,1S,2025-09-15 07:00:00,2025-09-15 14:00:00,7.0
10004,2025-09-16 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-16 07:00:00,2025-09-16 14:00:00,7.0
10004,2025-09-17 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-17 07:00:00,2025-09-17 14:00:00,7.0
10004,2025-09-18 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-18 07:00:00,2025-09-18 14:00:00,7.0
10004,2025-09-19 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-19 07:00:00,2025-09-19 14:00:00,7.0
10004,2025-09-20 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-20 07:00:00,2025-09-20 14:00:00,7.0
10004,2025-09-21 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-21 07:00:00,2025-09-21 14:00:00,7.0
10004,2025-09-22 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-22 07:00:00,2025-09-22 14:00:00,7.0
10004,2025-09-23 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-23 07:00:00,2025-09-23 14:00:00,7.0
10004,2025-09-24 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-24 07:00:00,2025-09-24 14:00:00,7.0
10004,2025-09-25 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-25 07:00:00,2025-09-25 14:00:00,7.0
10004,2025-09-26 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-26 07:00:00,2025-09-26 14:00:00,7.0
10004,2025-09-27 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-27 07:00:00,2025-09-27 14:00:00,7.0
10004,2025-09-28 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-28 07:00:00,2025-09-28 14:00:00,7.0
10004,2025-09-29 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-29 07:00:00,2025-09-29 14:00:00,7.0
10004,2025-09-30 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-30 07:00:00,2025-09-30 14:00:00,7.0
10006,2025-09-01 00:00:00,2025-09-01 07:26,2025-09-01 15:32,,,,,,,2025-09-01 07:26:00,2025-09-01 15:32:00,08:06,,1.0,PR,0:05,HK,2025-09-01 07:30:00,2025-09-01 13:30:00,8.0
10006,2025-09-02 00:00:00,2025-09-02 07:18,2025-09-02 15:30,,,,,,,2025-09-02 07:18:00,2025-09-02 15:30:00,08:12,,1.0,PR,0:12,HK,2025-09-02 07:30:00,2025-09-02 13:30:00,8.0
10006,2025-09-03 00:00:00,2025-09-03 07:13,2025-09-03 15:32,,,,,,,2025-09-03 07:13:00,2025-09-03 15:32:00,08:19,,1.0,PR,0:19,HK,2025-09-03 07:30:00,2025-09-03 13:30:00,8.0
10006,2025-09-04 00:00:00,2025-09-04 07:15,2025-09-04 15:29,,,,,,,2025-09-04 07:15:00,2025-09-04 15:29:00,08:14,,1.0,PR,0:14,HK,2025-09-04 07:30:00,2025-09-04 13:30:00,8.0
10006,2025-09-05 00:00:00,2025-09-05 07:22,2025-09-05 15:30,,,,,,,2025-09-05 07:22:00,2025-09-05 15:30:00,08:08,,1.0,PR,0:08,HK,2025-09-05 07:30:00,2025-09-05 13:30:00,8.0
10006,2025-09-06 00:00:00,2025-09-06 07:18,2025-09-06 15:30,,,,,,,2025-09-06 07:18:00,2025-09-06 15:30:00,08:12,,1.0,PR,0:12,HK,2025-09-06 07:30:00,2025-09-06 13:30:00,8.0
10006,2025-09-07 00:00:00,,,,,,,,,,,,,,AB,0:00,HK,2025-09-07 07:30:00,2025-09-07 13:30:00,8.0
10006,2025-09-08 00:00:00,2025-09-08 07:19,2025-09-08 15:31,,,,,,,2025-09-08 07:19:00,2025-09-08 15:31:00,08:12,,1.0,PR,0:12,HK,2025-09-08 07:30:00,2025-09-08 13:30:00,8.0
10006,2025-09-09 00:00:00,2025-09-09 07:19,2025-09-09 15:31,,,,,,,2025-09-09 07:19:00,2025-09-09 15:31:00,08:12,,1.0,PR,0:12,HK,2025-09-09 07:30:00,2025-09-09 13:30:00,8.0
